strain	virus	assession	date	region	country
PC4-227__AY613950	Severe acute respiratory syndrome-related coronavirus	AY613950	2004-XX-XX	china	China
PUMC01__AY350750	Severe acute respiratory syndrome-related coronavirus	AY350750	20XX-XX-XX		
PUMC02__AY357075	Severe acute respiratory syndrome-related coronavirus	AY357075	20XX-XX-XX		
PUMC03__AY357076	Severe acute respiratory syndrome-related coronavirus	AY357076	20XX-XX-XX		
ShanghaiQXC1__AY463059	Severe acute respiratory syndrome-related coronavirus	AY463059	20XX-XX-XX		
ShanghaiQXC2__AY463060	Severe acute respiratory syndrome-related coronavirus	AY463060	20XX-XX-XX		
SIN2500__AY283794	Severe acute respiratory syndrome-related coronavirus	AY283794	20XX-XX-XX	southeast_asia	Singapore
SIN2677__AY283795	Severe acute respiratory syndrome-related coronavirus	AY283795	20XX-XX-XX	southeast_asia	Singapore
SIN2679__AY283796	Severe acute respiratory syndrome-related coronavirus	AY283796	20XX-XX-XX	southeast_asia	Singapore
SIN2748__AY283797	Severe acute respiratory syndrome-related coronavirus	AY283797	20XX-XX-XX	southeast_asia	Singapore
SIN2774__AY283798	Severe acute respiratory syndrome-related coronavirus	AY283798	20XX-XX-XX	southeast_asia	Singapore
Sin3408__AY559083	Severe acute respiratory syndrome-related coronavirus	AY559083	20XX-XX-XX	southeast_asia	Singapore
Sin3408L__AY559097	Severe acute respiratory syndrome-related coronavirus	AY559097	20XX-XX-XX	southeast_asia	Singapore
Sin3725V__AY559087	Severe acute respiratory syndrome-related coronavirus	AY559087	20XX-XX-XX	southeast_asia	Singapore
Sin3765V__AY559084	Severe acute respiratory syndrome-related coronavirus	AY559084	20XX-XX-XX	southeast_asia	Singapore
Sin842__AY559081	Severe acute respiratory syndrome-related coronavirus	AY559081	2003-XX-XX	southeast_asia	Singapore
Sin845__AY559093	Severe acute respiratory syndrome-related coronavirus	AY559093	20XX-XX-XX	southeast_asia	Singapore
Sin846__AY559094	Severe acute respiratory syndrome-related coronavirus	AY559094	2003-XX-XX	southeast_asia	Singapore
Sin847__AY559095	Severe acute respiratory syndrome-related coronavirus	AY559095	20XX-XX-XX	southeast_asia	Singapore
Sin848__AY559085	Severe acute respiratory syndrome-related coronavirus	AY559085	2003-XX-XX	southeast_asia	Singapore
Sin849__AY559086	Severe acute respiratory syndrome-related coronavirus	AY559086	2003-XX-XX	southeast_asia	Singapore
Sin850__AY559096	Severe acute respiratory syndrome-related coronavirus	AY559096	2003-XX-XX	southeast_asia	Singapore
Sin852__AY559082	Severe acute respiratory syndrome-related coronavirus	AY559082	2003-XX-XX	southeast_asia	Singapore
Sino1-11__AY485277	Severe acute respiratory syndrome-related coronavirus	AY485277	20XX-XX-XX		
Sino3-11__AY485278	Severe acute respiratory syndrome-related coronavirus	AY485278	20XX-XX-XX		
SinP1__AY559088	Severe acute respiratory syndrome-related coronavirus	AY559088	20XX-XX-XX	southeast_asia	Singapore
SinP2__AY559089	Severe acute respiratory syndrome-related coronavirus	AY559089	20XX-XX-XX	southeast_asia	Singapore
SinP3__AY559090	Severe acute respiratory syndrome-related coronavirus	AY559090	20XX-XX-XX	southeast_asia	Singapore
SinP4__AY559091	Severe acute respiratory syndrome-related coronavirus	AY559091	20XX-XX-XX	southeast_asia	Singapore
SinP5__AY559092	Severe acute respiratory syndrome-related coronavirus	AY559092	20XX-XX-XX	southeast_asia	Singapore
SoD__AY461660	Severe acute respiratory syndrome-related coronavirus	AY461660	20XX-XX-XX	west_asia	Russia
TJF__AY654624	Severe acute respiratory syndrome-related coronavirus	AY654624	20XX-XX-XX		
TW1__AY291451	Severe acute respiratory syndrome-related coronavirus	AY291451	2003-XX-XX	china	Taiwan
TW10__AY502923	Severe acute respiratory syndrome-related coronavirus	AY502923	2003-XX-XX	china	Taiwan
TW11__AY502924	Severe acute respiratory syndrome-related coronavirus	AY502924	2003-XX-XX	china	Taiwan
TW2__AY502925	Severe acute respiratory syndrome-related coronavirus	AY502925	2003-XX-XX	china	Taiwan
TW3__AY502926	Severe acute respiratory syndrome-related coronavirus	AY502926	2003-XX-XX	china	Taiwan
TW4__AY502927	Severe acute respiratory syndrome-related coronavirus	AY502927	2003-XX-XX	china	Taiwan
TW5__AY502928	Severe acute respiratory syndrome-related coronavirus	AY502928	2003-XX-XX	china	Taiwan
TW6__AY502929	Severe acute respiratory syndrome-related coronavirus	AY502929	2003-XX-XX	china	Taiwan
TW7__AY502930	Severe acute respiratory syndrome-related coronavirus	AY502930	2003-XX-XX	china	Taiwan
TW8__AY502931	Severe acute respiratory syndrome-related coronavirus	AY502931	2003-XX-XX	china	Taiwan
TW9__AY502932	Severe acute respiratory syndrome-related coronavirus	AY502932	2003-XX-XX	china	Taiwan
TWC__AY321118	Severe acute respiratory syndrome-related coronavirus	AY321118	20XX-XX-XX		
TWC2__AY362698	Severe acute respiratory syndrome-related coronavirus	AY362698	20XX-XX-XX		
TWC3__AY362699	Severe acute respiratory syndrome-related coronavirus	AY362699	20XX-XX-XX		
TWH__AP006557	Severe acute respiratory syndrome-related coronavirus	AP006557	20XX-XX-XX		
TWJ__AP006558	Severe acute respiratory syndrome-related coronavirus	AP006558	20XX-XX-XX		
TWK__AP006559	Severe acute respiratory syndrome-related coronavirus	AP006559	20XX-XX-XX		
TWS__AP006560	Severe acute respiratory syndrome-related coronavirus	AP006560	20XX-XX-XX		
TWY__AP006561	Severe acute respiratory syndrome-related coronavirus	AP006561	20XX-XX-XX		
WH20__AY772062	Severe acute respiratory syndrome-related coronavirus	AY772062	20XX-XX-XX		
WHU__AY394850	Severe acute respiratory syndrome-related coronavirus	AY394850	2003-XX-XX		
ZJ01__AY297028	Severe acute respiratory syndrome-related coronavirus	AY297028	20XX-XX-XX		
ZJ02__EU371559	Severe acute respiratory syndrome-related coronavirus	EU371559	2003-XX-XX		
ZJ0301__DQ182595	Severe acute respiratory syndrome-related coronavirus	DQ182595	2003-04-21	china	China
ZMY1__AY351680	Severe acute respiratory syndrome-related coronavirus	AY351680	20XX-XX-XX		
ZS-A__AY394997	Severe acute respiratory syndrome-related coronavirus	AY394997	20XX-XX-XX		
ZS-B__AY394996	Severe acute respiratory syndrome-related coronavirus	AY394996	20XX-XX-XX		
ZS-C__AY395003	Severe acute respiratory syndrome-related coronavirus	AY395003	2003-XX-XX		
As6526__KY417142	Severe acute respiratory syndrome-related coronavirus	KY417142	2014-05-12	china	China
bat-SL-CoVZC45__MG772933	Severe acute respiratory syndrome-related coronavirus	MG772933	2017-02-XX	china	China
bat-SL-CoVZXC21__MG772934	Severe acute respiratory syndrome-related coronavirus	MG772934	2015-07-XX	china	China
Rf4092__KY417145	Severe acute respiratory syndrome-related coronavirus	KY417145	2012-09-18	china	China
Rs4081__KY417143	Severe acute respiratory syndrome-related coronavirus	KY417143	2012-09-18	china	China
Rs4084__KY417144	Severe acute respiratory syndrome-related coronavirus	KY417144	2012-09-18	china	China
Rs4231__KY417146	Severe acute respiratory syndrome-related coronavirus	KY417146	2013-04-17	china	China
Rs4237__KY417147	Severe acute respiratory syndrome-related coronavirus	KY417147	2013-04-17	china	China
Rs4247__KY417148	Severe acute respiratory syndrome-related coronavirus	KY417148	2013-04-17	china	China
Rs4255__KY417149	Severe acute respiratory syndrome-related coronavirus	KY417149	2013-04-17	china	China
Rs4874__KY417150	Severe acute respiratory syndrome-related coronavirus	KY417150	2013-07-21	china	China
