strain	virus	assension	date	region	country
Kilifi_HH_3807_11_May_2010	seasonal_corona	MG428702	2010-05-11	?	kenya
Kilifi/IP/017/12_Apr_2013	seasonal_corona	MG356440	2013-04-12	?	kenya
PUMCH3562	seasonal_corona	HM130752	2006-09-27	?	china
hCoV/NL63/VFC370/BRA/2007	seasonal_corona	JN251799	2007-XX-XX	?	brazil
CU_H1966/2010	seasonal_corona	JX513252	2010-06-03	?	thailand
12MYKL1253	seasonal_corona	KT359905	2012-XX-XX	?	malaysia
Kilifi/IP/013/27_Jul_2012	seasonal_corona	MG356436	2012-07-27	?	kenya
V41988	seasonal_corona	FJ656164	2007-03-XX	?	sweden
TN93_11_36	seasonal_corona	KM077092	?	?	usa
V41620	seasonal_corona	FJ656157	2007-02-XX	?	sweden
NL64	seasonal_corona	KJ768642	2012-01-04	?	ghana
hCoV/NL63/VFC65/BRA/2006	seasonal_corona	JN251791	2006-XX-XX	?	brazil
NL63/human/USA/903_28/1990	seasonal_corona	KF530109	1990-03-21	?	usa
12MYKL1238	seasonal_corona	KT359903	2012-XX-XX	?	malaysia
CU_L182	seasonal_corona	GQ856810	2005-XX-XX	?	hong_kong
HCOV/KENYA/015/2009	seasonal_corona	KP112156	2014-07-01	?	kenya
12MYKL1055	seasonal_corona	KT359894	2012-XX-XX	?	malaysia
CU_H1955/2010	seasonal_corona	JX513251	2010-05-27	?	thailand
Kilifi/IP/026/24_Jan_2014	seasonal_corona	MG356449	2014-01-24	?	kenya
HCoV/NL63/N06	seasonal_corona	GU068573	2007-07-26	?	china
Kilifi/IP/006/28_Mar_2011	seasonal_corona	MG356429	2011-03-28	?	kenya
HCoV/NL63/N08	seasonal_corona	GU068575	2007-08-02	?	china
NL63/RPTEC/2004	seasonal_corona	JX504050	2004-XX-XX	?	usa
ChinaGD01	seasonal_corona	KT006149	2018-09-01	?	china
NL63/Haiti_3/2015	seasonal_corona	KX179495	2015-01-22	?	haiti
NL63/UF_2/2015	seasonal_corona	KX179500	2015-09-01	?	usa
Kilifi/IP/016/08_Apr_2013	seasonal_corona	MG356439	2013-04-08	?	kenya
Kilifi/IP/029/27_May_2014	seasonal_corona	MG356452	2014-05-27	?	kenya
NL63/DEN/2005/235	seasonal_corona	JQ765570	2005-01-19	?	usa
NL63/FRA_EPI/Caen/2009/07	seasonal_corona	KY862048	2009-01-08	?	france
CU_583	seasonal_corona	GQ856800	2006-XX-XX	?	hong_kong
V110104	seasonal_corona	FJ656169	2007-02-XX	?	sweden
HCoV/NL63/N09	seasonal_corona	GU068576	2007-08-23	?	china
Athens.GR/125/07	seasonal_corona	KX866389	2007-02-18	?	greece
NL63/DEN/2005/1862	seasonal_corona	JQ765574	2005-11-XX	?	usa
CU_H2007/2010	seasonal_corona	JX513255	2010-06-17	?	thailand
Athens.GR/336/07	seasonal_corona	KX866392	2007-04-15	?	greece
NL63/DEN/2005/232	seasonal_corona	JQ765569	2005-01-18	?	usa
NL63/DEN/2009/14	seasonal_corona	JQ765564	2009-03-01	?	usa
NL63/DEN/2009/9	seasonal_corona	JQ765563	2009-03-16	?	usa
Kilifi/HH/0522/21_May_2010	seasonal_corona	MG356422	2010-05-21	?	kenya
N06_1144B	seasonal_corona	KY554967	2016-XX-XX	?	usa
Kilifi/IP/008/12_May_2011	seasonal_corona	MG356431	2011-05-12	?	kenya
TN92_5_5	seasonal_corona	KM077073	?	?	usa
PUMCH6159	seasonal_corona	HM130755	2007-09-23	?	china
NL63/human/USA/901_24/1990	seasonal_corona	KF530111	1990-01-05	?	usa
Kilifi/IP/025/21_Jan_2014	seasonal_corona	MG356448	2014-01-21	?	kenya
V41946	seasonal_corona	FJ656163	2007-03-XX	?	sweden
NL63/DEN/2005/449	seasonal_corona	JQ900259	2005-02-09	?	usa
997A_2008	seasonal_corona	KM055606	2008-XX-XX	?	china
HCoV/NL63/N13	seasonal_corona	GU068580	2007-09-10	?	china
NL63/DEN/2010/20	seasonal_corona	JQ771055	2010-12-15	?	usa
HCoV/NL63/N10	seasonal_corona	GU068577	2007-08-23	?	china
Kilifi/IP/004/20_Jun_2010	seasonal_corona	MG356427	2010-06-20	?	kenya
HCoVNL63/Tokyo/SGH_18/2018	seasonal_corona	LC488389	2018-XX-XX	?	japan
HCoV/NL63/N11	seasonal_corona	GU068578	2007-08-30	?	china
NL63/FRA_EPI/Caen/2010/10	seasonal_corona	KY862045	2010-12-17	?	france
HCoV/NL63/N04	seasonal_corona	GU068571	2007-06-28	?	china
V110132	seasonal_corona	FJ656173	2007-03-XX	?	sweden
NL63/DEN/2009/6	seasonal_corona	JQ900255	2009-02-25	?	usa
Kilifi_HH_3808_24_May_2010	seasonal_corona	MG428706	2010-05-24	?	kenya
Kilifi/IP/027/26_Jan_2014	seasonal_corona	MG356450	2014-01-26	?	kenya
12MYKL0964	seasonal_corona	KT359889	2012-XX-XX	?	malaysia
NL63/FRA_EPI/Caen/2011/12	seasonal_corona	KY862043	2011-10-08	?	france
Kilifi/HH/3808/24_May_2010	seasonal_corona	MG356423	2010-05-24	?	kenya
12MYKL0730	seasonal_corona	KT359875	2012-XX-XX	?	malaysia
ChinaGD07	seasonal_corona	MK342126	2018-07-06	?	china
Kilifi/IP/011/26_Jul_2011	seasonal_corona	MG356434	2011-07-26	?	kenya
2093A_2010	seasonal_corona	KM055633	2010-XX-XX	?	china
374A_2007	seasonal_corona	KM055644	2007-XX-XX	?	china
HCoV/NL63/N07	seasonal_corona	GU068574	2007-07-26	?	china
BJ040	seasonal_corona	KM676090	2014-05-XX	?	china
NL63/Haiti_2/2015	seasonal_corona	KX179494	2015-01-21	?	haiti
Athens.GR/301/06	seasonal_corona	KX866387	2006-03-12	?	greece
NL63/FRA_EPI/Caen/2004/01	seasonal_corona	KY862054	2004-10-11	?	france
NL63_KLF_01_2018	seasonal_corona	MN026166	2018-01-29	?	kenya
Kilifi/IP/010/06_Jun_2011	seasonal_corona	MG356433	2011-06-06	?	kenya
Kilifi/IP/001/18_Mar_2008	seasonal_corona	MG356413	2008-03-18	?	kenya
NL63/human/USA/012_31/2001	seasonal_corona	KF530105	2001-02-23	?	usa
NL63/FRA_EPI/Caen/2008/06	seasonal_corona	KY862049	2008-02-19	?	france
NL63/human/USA/8712_17/1987	seasonal_corona	KF530106	1987-12-16	?	usa
TN90_5_25	seasonal_corona	KM077080	?	?	usa
13MYKL2005	seasonal_corona	KT359913	2013-XX-XX	?	malaysia
Kilifi/IP/020/25_May_2013	seasonal_corona	MG356443	2013-05-25	?	kenya
NL63/FRA_EPI/Caen/2008/05	seasonal_corona	KY862050	2008-02-15	?	france
