strain	virus	assention	date	region	country
HCoV_OC43/FRA_EPI/Caen/2005/07	seasonal_corona	KF963236	2005-02-07	?	france
OC43/SLO/43431/2014	seasonal_corona	KX059658	2014-03-12	?	slovenia
HCoV_OC43/Seattle/USA/SC2770/2015	seasonal_corona	KY967358	2015-XX-XX	?	usa
OC43/human/USA/982_4/1998	seasonal_corona	KF530069	1998-02-05	?	usa
HCoV_OC43/Yamagata.JPN/26.16_1046	seasonal_corona	LC331092	2016-06-XX	?	japan
hCoV/OC43/VFC297/BRA/2007	seasonal_corona	JN251794	2007-XX-XX	?	brazil
HCoV_OC43/Yamagata.JPN/51.2012_2581	seasonal_corona	LC506812	2012-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0101	seasonal_corona	LC506849	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/09.2015_0492	seasonal_corona	LC506913	2015-02-XX	?	japan
OC43/SLO/61445/2016	seasonal_corona	KX059652	2016-01-08	?	slovenia
HCoV_OC43/FRA_EPI/Caen/2002/04	seasonal_corona	KF963233	2002-02-21	?	france
hCoV/OC43/VFC359/BRA/2007	seasonal_corona	JN251797	2007-XX-XX	?	brazil
HCoV_OC43/Seattle/USA/SC0841/2019	seasonal_corona	MN306043	2019-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/04.2015_0210	seasonal_corona	LC506868	2015-01-XX	?	japan
HCoV_OC43/Seattle/USA/SC2854/2015	seasonal_corona	KY983585	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/07.2017_0304	seasonal_corona	LC506921	2017-02-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2002/03	seasonal_corona	KF963232	2002-03-12	?	france
OC43/human/USA/871_25/1987	seasonal_corona	KF530085	1987-01-22	?	usa
HCoV_OC43/Yamagata.JPN/48.2017_2515	seasonal_corona	LC506946	2017-12-XX	?	japan
hCoV/OC43/VFC332/BRA/2007	seasonal_corona	JN251795	2007-XX-XX	?	brazil
HCoV_OC43/Yamagata.JPN/06.2015_0291	seasonal_corona	LC506892	2015-02-XX	?	japan
OC43/human/USA/901_43/1990	seasonal_corona	KF530061	1990-01-19	?	usa
HCoV_OC43/Yamagata.JPN/50.2017_2568	seasonal_corona	LC506947	2017-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0287	seasonal_corona	LC506889	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/14.2017_0959	seasonal_corona	LC506942	2017-04-XX	?	japan
HCoV_OC43/Yamagata.JPN/12.2017_0642	seasonal_corona	LC506940	2017-03-XX	?	japan
OC43/SLO/44364/2014	seasonal_corona	KX059640	2014-04-08	?	slovenia
HCoV_OC43/Yamagata.JPN/06.2013_0378	seasonal_corona	LC506819	2013-02-XX	?	japan
OC43/human/USA/851_15/1985	seasonal_corona	KF530060	1985-01-08	?	usa
OC43/human/USA/832_27/1983	seasonal_corona	KF530093	1983-02-24	?	usa
HCoV_OC43/Yamagata.JPN/06.2013_0375	seasonal_corona	LC506818	2013-02-XX	?	japan
OC43/SLO/45151/2014	seasonal_corona	KX059660	2014-05-17	?	slovenia
HCoV_OC43/Yamagata.JPN/04.2015_0154	seasonal_corona	LC506863	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2017_0266	seasonal_corona	LC506919	2017-02-XX	?	japan
hCoV/OC43/VFC41/BRA/2006	seasonal_corona	JN251787	2006-XX-XX	?	brazil
HCoV_OC43/Yamagata.JPN/48.2010_2590	seasonal_corona	LC506787	2010-11-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0213	seasonal_corona	LC506870	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0275	seasonal_corona	LC506885	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/43.2010_2388	seasonal_corona	LC506778	2010-10-XX	?	japan
OC43/SLO/14041/2010	seasonal_corona	KX059662	2010-02-21	?	slovenia
HCoV_OC43/FRA_EPI/Caen/2001/01	seasonal_corona	KF963230	2001-02-20	?	france
HCoV_OC43/Yamagata.JPN/05.2017_0193	seasonal_corona	LC506917	2017-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/02.2015_0077	seasonal_corona	LC506845	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/24.16_1006	seasonal_corona	LC331085	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2014_0434	seasonal_corona	LC506835	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2009_0469	seasonal_corona	LC506760	2009-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.15_0612	seasonal_corona	LC331077	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2010_0241	seasonal_corona	LC506767	2010-01-XX	?	japan
OC43/SLO/61531/2016	seasonal_corona	KX059648	2016-01-11	?	slovenia
OC43/SLO/42347/2014	seasonal_corona	KX059657	2014-02-19	?	slovenia
HCoV_OC43/Yamagata.JPN/04.2010_0251	seasonal_corona	LC506768	2010-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/12.2017_0640	seasonal_corona	LC506939	2017-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0151	seasonal_corona	LC506861	2015-01-XX	?	japan
HCoV_OC43/Seattle/USA/SC0682/2019	seasonal_corona	MN306036	2019-XX-XX	?	usa
HCoV_OC43/FRA_EPI/Caen/2006/08	seasonal_corona	KF963237	2006-04-12	?	france
OC43/human/USA/925_1/1992	seasonal_corona	KF530071	1992-05-04	?	usa
OC43/human/USA/9612_9/1996	seasonal_corona	KF530064	1996-12-04	?	usa
OC43/SLO/60954/2015	seasonal_corona	KX059632	2015-12-24	?	slovenia
HCoV_OC43/Yamagata.JPN/08.2014_0436	seasonal_corona	LC506837	2014-02-XX	?	japan
OC43/human/USA/9712_13/1997	seasonal_corona	KF530072	1997-12-11	?	usa
HCoV_OC43/Yamagata.JPN/52.2014_2417	seasonal_corona	LC506842	2014-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0130	seasonal_corona	LC506852	2015-01-XX	?	japan
OC43/human/USA/953_23/1995	seasonal_corona	KF530075	1995-03-09	?	usa
HCoV_OC43/Yamagata.JPN/53.2014_2422	seasonal_corona	LC506844	2014-12-XX	?	japan
OC43/SLO/43970/2014	seasonal_corona	KX059638	2014-03-27	?	slovenia
HCoV_OC43/FRA_EPI/Caen/2004/06	seasonal_corona	KF963235	2004-02-20	?	france
OC43/SLO/62519/2016	seasonal_corona	KX059653	2016-01-31	?	slovenia
HCoV_OC43/Yamagata.JPN/08.2013_0498	seasonal_corona	LC506821	2013-02-XX	?	japan
OC43/human/USA/991_5/1999	seasonal_corona	KF530081	1999-01-07	?	usa
HCoV_OC43/Yamagata.JPN/06.2015_0301	seasonal_corona	LC506896	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0288	seasonal_corona	LC506890	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0129	seasonal_corona	LC506851	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/01.2011_0064	seasonal_corona	LC506789	2011-01-XX	?	japan
OC43/human/USA/912_36/1991	seasonal_corona	KF530094	1991-02-22	?	usa
HCoV_OC43/Yamagata.JPN/05.2015_0223	seasonal_corona	LC506875	2015-01-XX	?	japan
OC43/SLO/60430/2015	seasonal_corona	KX059644	2015-12-02	?	slovenia
HCoV_OC43/Seattle/USA/SC0810/2019	seasonal_corona	MN306041	2019-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/08.2017_0375	seasonal_corona	LC506929	2017-02-XX	?	japan
OC43/SLO/40296/2014	seasonal_corona	KX059636	2014-02-03	?	slovenia
HCoV_OC43/Yamagata.JPN/07.2015_0416	seasonal_corona	LC506905	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2017_0354	seasonal_corona	LC506925	2017-02-XX	?	japan
OC43/human/USA/911_58/1991	seasonal_corona	KF530091	1991-01-24	?	usa
HCoV_OC43/Yamagata.JPN/06.2014_0378	seasonal_corona	LC506832	2014-02-XX	?	japan
OC43/human/USA/9612_48/1996	seasonal_corona	KF530063	1996-12-30	?	usa
HCoV_OC43/Yamagata.JPN/03.15_0087	seasonal_corona	LC331071	2015-01-XX	?	japan
HCoV_OC43/USA/ACRI_0052/2016	seasonal_corona	MF314143	2016-03-07	?	usa
HCoV_OC43/Yamagata.JPN/20.2010_1341	seasonal_corona	LC506770	2010-05-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2015_0351	seasonal_corona	LC506898	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0218	seasonal_corona	LC506873	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2014_0484	seasonal_corona	LC506839	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2013_0348	seasonal_corona	LC506817	2013-02-XX	?	japan
OC43/SLO/63863/2016	seasonal_corona	KX059651	2016-02-20	?	slovenia
HCoV_OC43/Yamagata.JPN/52.2012_2590	seasonal_corona	LC506814	2012-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/02.15_0083	seasonal_corona	LC331070	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/23.16_0980	seasonal_corona	LC331083	2016-06-XX	?	japan
OC43/human/USA/931_85/1993	seasonal_corona	KF530090	1993-01-26	?	usa
HCoV_OC43/Yamagata.JPN/07.2014_0380	seasonal_corona	LC506833	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0282	seasonal_corona	LC506887	2015-01-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2008/10	seasonal_corona	KF963239	2008-01-17	?	france
HCoV_OC43/Yamagata.JPN/07.2015_0369	seasonal_corona	LC506903	2015-02-XX	?	japan
OC43_KLF_01_2018	seasonal_corona	MN026164	2018-01-18	?	kenya
HCoV_OC43/USA/TCNP_00204/2017	seasonal_corona	MF374984	2017-01-03	?	usa
OC43/human/USA/971_5/1997	seasonal_corona	KF530099	1997-01-02	?	usa
HCoV_OC43/Yamagata.JPN/52.2012_2586	seasonal_corona	LC506813	2012-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/09.2017_0480	seasonal_corona	LC506934	2017-03-XX	?	japan
HCoV_OC43/Seattle/USA/SC2476/2015	seasonal_corona	KY967360	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/03.2014_0174	seasonal_corona	LC506824	2014-01-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2013/15	seasonal_corona	KF963244	2013-03-18	?	france
HCoV_OC43/Yamagata.JPN/06.2012_0369	seasonal_corona	LC506805	2012-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0211	seasonal_corona	LC506869	2015-01-XX	?	japan
OC43/human/USA/8912_37/1989	seasonal_corona	KF530073	1989-12-21	?	usa
HCoV_OC43/Yamagata.JPN/04.15_0214	seasonal_corona	LC331072	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/21.2011_1174	seasonal_corona	LC506797	2011-05-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2014_0485	seasonal_corona	LC506840	2014-02-XX	?	japan
sloOC43_3	seasonal_corona	KF668031	2011-02-22	?	slovenia
HCoV_OC43/Seattle/USA/SC9741/2016	seasonal_corona	KY369907	2016-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/08.2014_0435	seasonal_corona	LC506836	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/12.2017_0751	seasonal_corona	LC506941	2017-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/46.2014_2103	seasonal_corona	LC506841	2014-11-XX	?	japan
HCoV_OC43/Yamagata.JPN/20.2011_1168	seasonal_corona	LC506796	2011-05-XX	?	japan
OC43/human/USA/911_66/1991	seasonal_corona	KF530089	1991-01-29	?	usa
HCoV_OC43/Yamagata.JPN/13.2011_0857	seasonal_corona	LC506792	2011-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/09.2017_0482	seasonal_corona	LC506935	2017-03-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2007/09	seasonal_corona	KF963238	2007-06-16	?	france
HCoV_OC43/Seattle/USA/SC2481/2015	seasonal_corona	KY983583	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/07.2009_0536	seasonal_corona	LC506761	2009-02-XX	?	japan
