strain	virus	assention	date	region	country
Hu/Buraydah-KSA-3049/2015	mers	KT805970	2015-02-12	west_asia	saudi_arabia
camel/UAE_417163_W4_2015	mers	MF598717	2015-04-XX	west_asia	united_arab_emirates
camel/UAE_B75_2015	mers	MF598665	2015-03-XX	west_asia	united_arab_emirates
Riyadh_1_2012	mers	KF600612	2012-10-23	west_asia	saudi_arabia
Hu/Riyadh-KSA-5767/2017	mers	MH310909	2017-05-05	west_asia	saudi_arabia
Jeddah_Camel1	mers	KJ607976	2013-XX-XX	west_asia	saudi_arabia
Hu/Riyadh-KSA-9522/2017	mers	MG912607	2017-06-11	west_asia	saudi_arabia
KFMC-5	mers	KT121572	2014-05-12	west_asia	saudi_arabia
011/DAB/C8/F<1	mers	MK357908	2017-04-21	africa	kenya
Hu/Riyadh-KSA-12969/2016	mers	KX154692	2016-02-27	west_asia	saudi_arabia
Hu/UAE_015_2014	mers	KY581689	2014-04-10	west_asia	united_arab_emirates
Jordan/camel/09/2016	mers	KX443664	2016-05-18	west_asia	jordan
Hafr-Al-Batin_5a_2013	mers	KJ156951	2013-08-25	west_asia	saudi_arabia
camel/Jeddah/S93/2014	mers	KT368855	2014-09-XX	west_asia	saudi_arabia
ANK/1079/2014	mers	KP143231	2014-XX-XX	west_asia	turkey
2	mers	MF133449	2015-07-10	africa	sudan
Jordan_13_2015	mers	KU233377	2015-XX-XX	west_asia	jordan
Hu/Jordan-12662/2015	mers	MF741827	2015-08-26	west_asia	jordan
Egypt-NC2663/2015	mers	KX425844	2015-XX-XX	africa	egypt
Hu/Hufuf-KSA-9158/2015	mers	KT806047	2015-03-27	west_asia	saudi_arabia
Al-Hasa_24d_2013	mers	KJ156885	2013-05-01	west_asia	saudi_arabia
MERS-CoV/camel/Egypt/NRCE-NC2352/2015	mers	KU942374	2015-12-08	africa	egypt
Riyadh_2014KSA_167/KSA/2014	mers	KM027283	2014-XX-XX	west_asia	saudi_arabia
camel/UAE_415911_W3_2015	mers	MF598706	2015-04-XX	west_asia	united_arab_emirates
camel/UAE_B32_2015	mers	MF598624	2015-03-XX	west_asia	united_arab_emirates
16	mers	MF133451	2015-07-11	africa	sudan
Hu/Riyadh-KSA-3782/2015	mers	KT806005	2015-02-25	west_asia	saudi_arabia
Hu/Hufuf-KSA-11853/2015	mers	KT806030	2015-05-28	west_asia	saudi_arabia
Abu_Dhabi_UAE_18_2014	mers	KP209307	2014-04-10	west_asia	united_arab_emirates
Hu/Jeddah-KSA-C21760/2015	mers	KT805993	2015-03-05	west_asia	saudi_arabia
Hafr-Al-Batin_5d_2013	mers	KJ156913	2013-08-25	west_asia	saudi_arabia
Hafr-Al-Batin_5b_2013	mers	KJ156924	2013-08-25	west_asia	saudi_arabia
Hu/Riyadh-KSA-15385/2016	mers	MG011345	2016-03-18	west_asia	saudi_arabia
MERS-CoV_camel/Burkina_Faso/CIRAD-HKU697/2015	mers	MG923473	2015-03-16	africa	burkina_faso
Al-Hasa_24a_2013	mers	KJ156867	2013-05-01	west_asia	saudi_arabia
Hu/Riyadh-KSA-2343/2015	mers	KR011264	2015-01-21	west_asia	saudi_arabia
camel/Jeddah/N68(b)/2014	mers	KT368848	2014-11-XX	west_asia	saudi_arabia
camel/UAE_B79_2015	mers	MF598669	2015-03-XX	west_asia	united_arab_emirates
Jeddah_C7311/KSA/2014	mers	KM027265	2014-XX-XX	west_asia	saudi_arabia
MERS-CoV/camel/Egypt/NRCE-NC702/2015	mers	KU942356	2015-04-01	africa	egypt
Asir_2d_2013	mers	KJ156900	2013-08-05	west_asia	saudi_arabia
camel/UAE_414492_W4_2015	mers	MF598712	2015-04-XX	west_asia	united_arab_emirates
Riyadh_7b_2013	mers	KJ156905	2013-07-15	west_asia	saudi_arabia
Hu-France_(UAE)_-_FRA1_1627-2013_BAL_HTS	mers	KJ361499	2013-04-26	europe	france
camel/Taif/T157(b)/2015	mers	KT368890	2015-03-XX	west_asia	saudi_arabia
Hu/Riyadh-KSA-4071/2015	mers	KT805974	2015-02-28	west_asia	saudi_arabia
EMC_camel5_6dpi	mers	KT966880	2014-12-04	europe	spain
camel/UAE_414500_W3_2015	mers	MF598704	2015-04-XX	west_asia	united_arab_emirates
camel/UAE_B20_2015	mers	MF598612	2015-03-XX	west_asia	united_arab_emirates
Al-Hasa_28f_2013	mers	KJ156930	2013-06-22	west_asia	saudi_arabia
Riyadh_1104/KSA/2014	mers	KT357796	2014-XX-XX	west_asia	saudi_arabia
camel/UAE_B6_2015	mers	MF598598	2015-03-XX	west_asia	united_arab_emirates
UAE-1-2014	mers	KP202202	2014-XX-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-14949/2016	mers	MG011346	2016-03-14	west_asia	saudi_arabia
Hu/Riyadh-KSA-10131/2015	mers	KT806018	2015-05-09	west_asia	saudi_arabia
MERS-CoV_camel/Nigeria/NV1712/2016	mers	MG923479	2016-02-05	africa	nigeria
Riyadh_2014KSA_042/KSA/2014	mers	KM027277	2014-XX-XX	west_asia	saudi_arabia
Hu/Riyadh-KSA-7178/2017	mers	MG912595	2017-05-31	west_asia	saudi_arabia
MERS-CoV/camel/Egypt/NRCE-NC795/2015	mers	KU942366	2015-04-01	africa	egypt
Hu/Riyadh-KSA-13127/2016	mers	KX154693	2016-02-29	west_asia	saudi_arabia
Jordan_8_2015	mers	KU233372	2015-XX-XX	west_asia	jordan
Hu/Riyadh-KSA-023D3N/2015	mers	MG546331	2015-10-15	west_asia	saudi_arabia
KFMC-2	mers	KT121577	2014-05-11	west_asia	saudi_arabia
KFMC-3	mers	KT121573	2014-05-09	west_asia	saudi_arabia
Hu/Riyadh-KSA-14607/2016	mers	MG011343	2016-03-12	west_asia	saudi_arabia
KFMC-1	mers	KT121580	2014-04-28	west_asia	saudi_arabia
KFMC-6	mers	KT121576	2014-05-18	west_asia	saudi_arabia
KFMC-7	mers	KT121581	2014-05-03	west_asia	saudi_arabia
KFMC-4	mers	KT121575	2014-05-12	west_asia	saudi_arabia
Riyadh_11a_2013	mers	KJ156946	2013-08-06	west_asia	saudi_arabia
Hu/Albaha-KSA-0800H/2018	mers	MK483839	2018-08-16	west_asia	saudi_arabia
KFMC-8	mers	KT121579	2014-04-30	west_asia	saudi_arabia
KFMC-9	mers	KT121574	2014-05-07	west_asia	saudi_arabia
Hu/Jordan-20140013526/2014	mers	KT861632	2014-12-24	west_asia	jordan
KOREA/Seoul/163-2-2015	mers	KT374050	2015-06-29	japan_korea	south_korea
24	mers	MK858157	2016-11-17	west_asia	saudi_arabia
