strain	virus	assention	date	region	country
KNHI_2K74559	seasonal_corona	JN234489	2008-01-XX	?	south_korea
PHL07_1656	seasonal_corona	AB514460	2007-XX-XX	?	philippines
KNIH_2K82882	seasonal_corona	JN234459	2008-03-XX	?	south_korea
HKU1/SLO/61107/2015	seasonal_corona	KX059680	2015-12-29	?	slovenia
12MYKL1153	seasonal_corona	KR055548	2012-XX-XX	?	malaysia
KNIH_2K71388	seasonal_corona	JN234452	2007-01-XX	?	south_korea
HKU1/SLO/60641/2015	seasonal_corona	KX059676	2015-12-11	?	slovenia
HKU1/human/USA/HKU1_7/2010	seasonal_corona	KF430202	2010-01-03	?	usa
China/Beijing/2009/s41	seasonal_corona	KR607994	2009-XX-XX	?	china
BRA99	seasonal_corona	GU904426	1995-07-12	?	brazil
PUMCH2967	seasonal_corona	HM130741	2006-07-29	?	china
12MYKL1214	seasonal_corona	KR055549	2012-XX-XX	?	malaysia
12MYKL0447	seasonal_corona	KR055536	2012-XX-XX	?	malaysia
SI17244	seasonal_corona	MH940245	2017-06-04	?	thailand
V10640	seasonal_corona	FJ656138	2004-02-XX	?	sweden
CU_H2010/2010	seasonal_corona	JX513212	2010-06-17	?	thailand
HKU1/SLO/62150/2016	seasonal_corona	KX059683	2016-01-23	?	slovenia
BRA169	seasonal_corona	FJ931534	1995-11-08	?	brazil
12MYKL0163	seasonal_corona	KR055532	2012-XX-XX	?	malaysia
LZ387	seasonal_corona	FJ937645	?	?	china
KNIH_2K84559	seasonal_corona	JN234460	2008-04-XX	?	south_korea
HKU1/human/USA/HKU1_12/2010	seasonal_corona	KF686346	2010-01-09	?	usa
HKU1/SLO/40304/2014	seasonal_corona	KX059668	2014-01-03	?	slovenia
HKU1/human/USA/HKU1_13/2010	seasonal_corona	KF686343	2010-01-08	?	usa
KNIH_2K70536	seasonal_corona	JN234451	2007-01-XX	?	south_korea
12MYKL1075	seasonal_corona	KR055546	2012-XX-XX	?	malaysia
BJ01_p3	seasonal_corona	KT779555	2009-04-23	?	china
LZ446	seasonal_corona	FJ937654	?	?	china
HKU1/SLO/62234/2016	seasonal_corona	KX059684	2016-01-26	?	slovenia
QPID04_0040	seasonal_corona	JQ732197	2004-07-20	?	australia
V10645	seasonal_corona	FJ656139	2004-02-XX	?	sweden
PUMCH8393	seasonal_corona	HM130749	2009-04-21	?	china
LZ20	seasonal_corona	FJ937641	?	?	china
SH_3	seasonal_corona	KC294429	2012-XX-XX	?	china
KNIH_2K84566	seasonal_corona	JN234461	2008-04-XX	?	south_korea
12MYKL0759	seasonal_corona	KR055540	2012-XX-XX	?	malaysia
HKU1/human/USA/HKU1_20/2010	seasonal_corona	KF686345	2010-01-30	?	usa
V37261	seasonal_corona	FJ656148	2006-03-XX	?	sweden
China/Beijing/2009/s42	seasonal_corona	KR607990	2009-XX-XX	?	china
QPID04_0022	seasonal_corona	JQ732200	2004-08-02	?	australia
HKU1/SLO/42056/2014	seasonal_corona	KX059669	2014-02-14	?	slovenia
PUMCH4252	seasonal_corona	HM130744	2006-12-19	?	china
HKU1/SLO/62261/2016	seasonal_corona	KX059685	2016-01-26	?	slovenia
HKU1/HTBEC_lab/BRA/HKU1_22/2007	seasonal_corona	KF430197	2007-XX-XX	?	brazil
hCoV/HKU1/VFC381/BRA/2007	seasonal_corona	JN251801	2007-XX-XX	?	brazil
HKU1/SLO/43609/2014	seasonal_corona	KX059671	2014-03-12	?	slovenia
V37300	seasonal_corona	FJ656150	2006-03-XX	?	sweden
PUMCH4949	seasonal_corona	HM130745	2007-03-22	?	china
KNHI_2K85187	seasonal_corona	JN234494	2008-04-XX	?	south_korea
13MYKL1781	seasonal_corona	KR055551	2013-XX-XX	?	malaysia
BRA90	seasonal_corona	GU904425	1995-07-07	?	brazil
BJ226	seasonal_corona	KM676085	2014-05-XX	?	china
